###Seconds (since Midnight UTC) 	 Chan 0 rate 	 Error in Chan0 	 Chan 1 rate 	 Error in Chan1 	 Chan 2 rate 	 Error in Chan2 	 Chan 3 rate 	 Error in Chan3 	 Trigger rate	Error in Triggers 	 Raw BA output 	 Temp (DegC) 	 Bus Voltage 	 #GPS satellites in view 
71787	19.68439	0.25573	19.25914	0.25295	18.59468	0.24855	18.72757	0.24944	7.87043	0.16170	1036	13.9	3.291	09
72088	19.08638	0.25181	19.57475	0.25501	18.71429	0.24935	18.84053	0.25019	7.84385	0.16143	1036	13.7	3.31	08
72389	19.37209	0.25369	19.46179	0.25428	19.07973	0.25177	18.55482	0.24828	7.89369	0.16194	1037	13.6	3.31	09
72690	18.99003	0.25118	18.91694	0.25069	18.51163	0.24799	18.60133	0.24859	7.67442	0.15968	1036	13.5	3.305	09
72991	18.93023	0.25078	19.44850	0.25419	18.56146	0.24833	18.88040	0.25045	7.75415	0.16050	1037	13.5	3.31	06
73292	19.01329	0.25133	19.09302	0.25186	18.46179	0.24766	18.51495	0.24802	7.59468	0.15884	1036	13.4	3.305	08
73592	19.23000	0.25318	19.74333	0.25654	19.28000	0.25351	19.52667	0.25513	7.97333	0.16303	1036	13.4	3.31	08
73893	18.77741	0.24977	19.25581	0.25293	18.43854	0.24750	18.33223	0.24679	7.69103	0.15985	1036	13.6	3.31	04
74194	18.90365	0.25060	19.23920	0.25282	18.30565	0.24661	18.58804	0.24850	7.79734	0.16095	1037	13.9	3.31	08
74495	19.08306	0.25179	19.37209	0.25369	18.94684	0.25089	18.94352	0.25087	8.07973	0.16384	1037	14.1	3.31	07
74796	19.01661	0.25135	19.54817	0.25484	18.34884	0.24690	18.70432	0.24928	7.73422	0.16030	1037	14.2	3.305	07
75097	19.00997	0.25131	19.09302	0.25186	18.68106	0.24913	18.84385	0.25021	7.80399	0.16102	1037	13.8	3.296	06
