###Seconds (since Midnight UTC) 	 Chan 0 rate 	 Error in Chan0 	 Chan 1 rate 	 Error in Chan1 	 Chan 2 rate 	 Error in Chan2 	 Chan 3 rate 	 Error in Chan3 	 Trigger rate	Error in Triggers 	 Raw BA output 	 Temp (DegC) 	 Bus Voltage 	 #GPS satellites in view 
376	18.69435	0.24921	19.33555	0.25345	18.78738	0.24983	18.67442	0.24908	7.87043	0.16170	1050	9.4	3.291	04
677	18.87043	0.25038	19.17608	0.25240	18.83056	0.25012	18.79734	0.24990	7.50831	0.15794	1050	9.4	3.31	06
978	18.29236	0.24652	19.19934	0.25256	18.79402	0.24988	18.91694	0.25069	7.71761	0.16012	1050	9.5	3.31	09
1278	18.72000	0.24980	19.19667	0.25296	18.99333	0.25162	19.10667	0.25237	7.79000	0.16114	1050	9.5	3.305	08
1579	18.49169	0.24786	19.52159	0.25467	18.69767	0.24924	18.57807	0.24844	7.51163	0.15797	1050	9.5	3.31	07
1880	18.46844	0.24770	18.97674	0.25109	18.67774	0.24910	18.37874	0.24710	7.51827	0.15804	1050	9.5	3.305	07
2181	18.33223	0.24679	19.61794	0.25530	18.43522	0.24748	18.86711	0.25036	7.63123	0.15923	1050	9.5	3.31	06
2482	18.54153	0.24819	19.18937	0.25249	18.33555	0.24681	18.57143	0.24839	7.72425	0.16019	1050	9.5	3.31	06
2783	18.70764	0.24930	18.63123	0.24879	18.30233	0.24659	18.48505	0.24781	7.66113	0.15954	1050	9.5	3.31	07
3084	18.12292	0.24538	18.75748	0.24963	18.20598	0.24594	18.55482	0.24828	7.35548	0.15632	1050	9.5	3.31	07
3384	18.42333	0.24781	19.00667	0.25171	18.50333	0.24835	18.73667	0.24991	7.57000	0.15885	1050	9.5	3.305	07
3685	18.51163	0.24799	19.19269	0.25251	18.66113	0.24899	18.86379	0.25034	7.80731	0.16105	1050	9.6	3.296	06
3986	18.60465	0.24862	18.88040	0.25045	18.86047	0.25032	18.86711	0.25036	7.62126	0.15912	1050	9.5	3.31	07
4287	18.13289	0.24544	18.59468	0.24855	18.28239	0.24645	18.52159	0.24806	7.44186	0.15724	1050	9.5	3.31	08
4588	18.38206	0.24712	18.72757	0.24944	17.94684	0.24418	18.77409	0.24974	7.41196	0.15692	1051	9.6	3.31	06
4889	18.74086	0.24952	19.17608	0.25240	19.26578	0.25299	18.93355	0.25080	7.77741	0.16074	1051	9.6	3.305	06
5190	18.66777	0.24904	19.06312	0.25166	18.26910	0.24636	18.19601	0.24587	7.50166	0.15787	1051	9.7	3.31	07
5490	18.13333	0.24585	18.98667	0.25157	18.53000	0.24853	18.83000	0.25053	7.51333	0.15825	1051	9.6	3.3	07
5791	18.09635	0.24520	19.19269	0.25251	18.41196	0.24732	18.65449	0.24895	7.66777	0.15961	1051	9.7	3.31	07
6092	17.98339	0.24443	18.56811	0.24837	17.99668	0.24452	18.16944	0.24569	7.14950	0.15412	1051	9.7	3.31	08
6393	18.27907	0.24643	19.22924	0.25275	18.46179	0.24766	18.73422	0.24948	7.60465	0.15895	1051	9.7	3.31	06
6694	17.96346	0.24429	18.56478	0.24835	18.33223	0.24679	18.48173	0.24779	7.39203	0.15671	1051	9.9	3.31	06
6995	18.46179	0.24766	19.11628	0.25201	18.35548	0.24694	18.74419	0.24955	7.49502	0.15780	1051	10.3	3.31	07
7296	18.62791	0.24877	19.15282	0.25225	18.35880	0.24697	18.60465	0.24862	7.61794	0.15909	1051	10.1	3.31	08
7596	18.57667	0.24884	18.85333	0.25069	18.28333	0.24687	18.70333	0.24969	7.57667	0.15892	1051	10.2	3.305	07
7897	18.24252	0.24618	19.47176	0.25434	18.81728	0.25003	19.11960	0.25203	7.48505	0.15769	1051	10.4	3.31	06
8198	18.21927	0.24603	18.81063	0.24999	18.20598	0.24594	18.44518	0.24755	7.35880	0.15636	1051	10.5	3.31	08
8499	18.53821	0.24817	18.40199	0.24726	18.25914	0.24630	18.50831	0.24797	7.61794	0.15909	1051	10.9	3.31	09
8800	18.07641	0.24506	18.63455	0.24881	18.28239	0.24645	18.48837	0.24784	7.51495	0.15801	1051	11.2	3.31	07
9101	18.54817	0.24824	19.40532	0.25391	18.25581	0.24627	18.59801	0.24857	7.66777	0.15961	1051	11.5	3.31	05
9402	17.98671	0.24445	18.69767	0.24924	18.01329	0.24463	18.11628	0.24533	7.45515	0.15738	1051	11.8	3.3	06
9702	18.71667	0.24978	19.23333	0.25320	18.46000	0.24806	18.76000	0.25007	7.70000	0.16021	1052	12.2	3.305	06
10003	18.63455	0.24881	18.86047	0.25032	18.11960	0.24535	18.51163	0.24799	7.48837	0.15773	1052	12.4	3.31	08
10304	18.44850	0.24757	18.43854	0.24750	18.21927	0.24603	18.12957	0.24542	7.51163	0.15797	1052	12.8	3.31	06
10605	18.05648	0.24493	18.48837	0.24784	18.08306	0.24511	18.31229	0.24665	7.42525	0.15706	1052	12.9	3.31	06
10906	17.90365	0.24389	18.70764	0.24930	18.03654	0.24479	18.29568	0.24654	7.42525	0.15706	1052	13.3	3.31	06
11207	18.13621	0.24547	18.68106	0.24913	17.97010	0.24434	18.27243	0.24639	7.32558	0.15600	1052	13.4	3.31	06
11508	18.06977	0.24502	18.51163	0.24799	17.96346	0.24429	18.24585	0.24621	7.40532	0.15685	1052	13.3	3.305	06
11808	17.96667	0.24472	18.79667	0.25031	18.46000	0.24806	18.89667	0.25098	7.49000	0.15801	1052	13.5	3.296	06
12109	18.04319	0.24483	19.03322	0.25146	18.27907	0.24643	18.54153	0.24819	7.59136	0.15881	1052	13.7	3.305	07
12410	17.95681	0.24425	18.70432	0.24928	18.15615	0.24560	18.20598	0.24594	7.59801	0.15888	1052	13.8	3.31	07
12711	18.32558	0.24674	18.52159	0.24806	18.18937	0.24582	18.02990	0.24474	7.26246	0.15533	1052	13.8	3.31	06
13012	18.41528	0.24735	18.64452	0.24888	18.01993	0.24468	18.17608	0.24573	7.49502	0.15780	1052	13.8	3.31	08
13313	17.64120	0.24209	18.73090	0.24946	17.89037	0.24380	18.31561	0.24668	7.19601	0.15462	1052	14	3.305	05
13614	17.87043	0.24366	18.45847	0.24764	18.28904	0.24650	18.24917	0.24623	7.46844	0.15752	1052	14	3.31	04
13914	18.12667	0.24581	18.83000	0.25053	18.20000	0.24631	18.46667	0.24810	7.48000	0.15790	1052	13.9	3.31	06
14215	18.45515	0.24761	19.09967	0.25190	18.31561	0.24668	18.28904	0.24650	7.41528	0.15696	1052	14	3.31	06
14516	17.62791	0.24200	18.54153	0.24819	18.30565	0.24661	18.43189	0.24746	7.33887	0.15615	1052	14	3.31	08
14817	18.15282	0.24558	18.84718	0.25023	18.09967	0.24522	18.23256	0.24612	7.43522	0.15717	1052	14	3.3	07
15118	18.20930	0.24596	18.80066	0.24992	18.14950	0.24556	18.09302	0.24517	7.45515	0.15738	1052	14.1	3.31	07
15419	18.19269	0.24585	18.52159	0.24806	18.41860	0.24737	18.36877	0.24703	7.50166	0.15787	1053	14.3	3.291	07
15720	17.88704	0.24377	18.34884	0.24690	18.36213	0.24699	18.40864	0.24730	7.46844	0.15752	1052	14.2	3.31	06
16020	18.29667	0.24696	18.98000	0.25153	18.32000	0.24712	18.33333	0.24721	7.69000	0.16010	1052	14	3.305	08
16321	18.10631	0.24526	18.91694	0.25069	18.22259	0.24605	18.16944	0.24569	7.51495	0.15801	1052	13.2	3.305	09
16622	18.26910	0.24636	18.60133	0.24859	18.03322	0.24477	18.38538	0.24715	7.40532	0.15685	1053	12.4	3.296	10
16923	18.14618	0.24553	18.63455	0.24881	17.91030	0.24393	18.50831	0.24797	7.48173	0.15766	1052	12.4	3.31	08
17224	18.00997	0.24461	18.80731	0.24997	17.75748	0.24289	18.21262	0.24598	7.33887	0.15615	1052	12.5	3.31	09
17525	17.92359	0.24402	18.67442	0.24908	17.93688	0.24411	18.33555	0.24681	7.33887	0.15615	1053	12.2	3.31	09
17826	18.09967	0.24522	18.79070	0.24986	17.86379	0.24361	18.52824	0.24810	7.49834	0.15783	1052	12.2	3.305	09
18126	18.24000	0.24658	18.92667	0.25118	18.38667	0.24757	18.28333	0.24687	7.50333	0.15815	1053	12.1	3.31	10
18427	18.24252	0.24618	18.83056	0.25012	18.20930	0.24596	18.35548	0.24694	7.60133	0.15891	1053	12.1	3.31	08
18728	18.39535	0.24721	18.71761	0.24937	17.87043	0.24366	18.20930	0.24596	7.38870	0.15668	1052	12	3.31	08
