###Seconds (since Midnight UTC) 	 Chan 0 rate 	 Error in Chan0 	 Chan 1 rate 	 Error in Chan1 	 Chan 2 rate 	 Error in Chan2 	 Chan 3 rate 	 Error in Chan3 	 Trigger rate	Error in Triggers 	 Raw BA output 	 Temp (DegC) 	 Bus Voltage 	 #GPS satellites in view 
14270	18.89701	0.25056	19.30565	0.25326	18.46512	0.24768	18.59801	0.24857	7.52824	0.15815	1041	10.4	3.31	06
14570	18.88333	0.25089	19.35667	0.25401	18.73667	0.24991	19.06667	0.25210	7.59333	0.15909	1041	10.5	3.31	06
14871	19.11296	0.25199	19.47841	0.25439	19.11296	0.25199	19.11296	0.25199	7.76412	0.16061	1041	10.4	3.3	08
15172	18.79070	0.24986	19.45183	0.25421	19.07309	0.25173	19.16944	0.25236	7.82392	0.16122	1041	10.4	3.31	08
15473	18.69103	0.24919	18.86711	0.25036	18.31894	0.24670	18.54817	0.24824	7.45847	0.15741	1041	10.5	3.291	07
15774	19.02326	0.25140	19.31229	0.25330	18.62458	0.24875	18.65116	0.24893	7.76412	0.16061	1041	10.4	3.31	08
16075	18.33223	0.24679	19.24585	0.25286	18.23256	0.24612	18.48837	0.24784	7.62126	0.15912	1041	10.4	3.305	07
16376	18.54817	0.24824	19.46844	0.25432	18.92359	0.25074	19.04319	0.25153	7.86379	0.16163	1041	10.3	3.305	08
16676	18.71333	0.24976	19.43333	0.25451	18.96000	0.25140	19.09000	0.25226	7.90333	0.16231	1041	10.4	3.296	10
16977	19.18937	0.25249	19.43854	0.25413	19.08970	0.25184	19.00332	0.25126	7.91030	0.16211	1041	10.3	3.31	07
17278	18.69103	0.24919	18.97342	0.25107	18.86711	0.25036	18.54817	0.24824	7.72757	0.16023	1041	10.3	3.31	09
17579	18.93688	0.25083	19.67110	0.25564	18.77741	0.24977	19.06645	0.25168	7.85050	0.16150	1041	10.3	3.31	10
17880	19.44850	0.25419	19.81728	0.25659	18.95349	0.25094	19.01993	0.25137	7.96013	0.16262	1041	10.2	3.305	07
18181	18.51495	0.24802	19.30897	0.25328	18.74086	0.24952	18.80066	0.24992	7.64120	0.15933	1041	10.1	3.31	08
18481	18.69000	0.24960	19.04333	0.25195	18.56000	0.24873	18.89333	0.25095	7.65667	0.15976	1041	10.1	3.31	09
18782	18.75083	0.24959	19.14286	0.25219	18.69103	0.24919	18.72093	0.24939	7.70100	0.15995	1041	10.1	3.31	06
19083	18.50831	0.24797	19.46844	0.25432	18.48837	0.24784	18.92691	0.25076	7.61462	0.15905	1041	10	3.315	08
19384	18.99003	0.25118	19.34884	0.25354	18.99003	0.25118	18.81063	0.24999	7.97010	0.16272	1041	10	3.31	08
19685	18.61794	0.24870	19.05980	0.25164	18.77409	0.24974	18.90033	0.25058	7.74751	0.16043	1041	10.1	3.305	08
19986	18.61462	0.24868	19.45847	0.25426	19.12625	0.25208	19.38206	0.25376	7.90365	0.16204	1041	10.1	3.31	08
20287	18.61130	0.24866	19.02990	0.25144	18.19601	0.24587	18.69103	0.24919	7.55814	0.15846	1041	10.1	3.291	08
20587	18.83667	0.25058	19.40000	0.25430	18.70667	0.24971	18.68333	0.24956	7.61333	0.15930	1041	10.1	3.31	07
20888	18.97342	0.25107	19.23588	0.25280	19.19269	0.25251	19.30565	0.25326	7.82724	0.16126	1041	10	3.31	09
21189	18.57475	0.24842	19.14950	0.25223	18.75748	0.24963	19.02658	0.25142	7.77076	0.16068	1041	9.9	3.31	08
21490	18.99336	0.25120	19.02326	0.25140	18.54817	0.24824	18.75083	0.24959	7.58472	0.15874	1041	9.9	3.31	09
21791	18.57143	0.24839	19.13953	0.25216	18.62126	0.24873	18.91362	0.25067	7.62791	0.15919	1041	9.9	3.305	08
22092	18.89037	0.25052	19.67774	0.25568	18.70764	0.24930	18.96013	0.25098	7.84718	0.16146	1041	9.8	3.31	07
22393	19.17608	0.25240	19.46179	0.25428	18.89369	0.25054	18.65781	0.24897	7.66113	0.15954	1041	9.8	3.3	08
22693	18.64667	0.24931	19.37333	0.25412	19.00000	0.25166	18.84000	0.25060	7.67000	0.15990	1041	9.9	3.3	08
22994	18.77409	0.24974	19.60465	0.25521	18.89369	0.25054	19.23920	0.25282	7.85382	0.16153	1042	9.9	3.31	08
23295	18.76080	0.24966	18.96678	0.25102	18.58140	0.24846	18.99003	0.25118	7.63455	0.15926	1042	9.8	3.31	06
23596	18.77076	0.24972	19.49502	0.25449	18.81063	0.24999	19.18937	0.25249	7.79070	0.16088	1042	9.8	3.305	08
23897	18.97010	0.25104	19.51163	0.25460	18.89037	0.25052	19.35880	0.25360	7.72425	0.16019	1042	9.8	3.31	06
24198	18.84385	0.25021	19.76080	0.25622	19.12625	0.25208	19.60133	0.25519	8.02990	0.16333	1042	9.8	3.31	06
24499	18.45847	0.24764	19.67774	0.25568	18.44186	0.24753	18.81728	0.25003	7.49169	0.15776	1042	9.8	3.31	07
24799	18.91667	0.25111	19.58333	0.25550	18.74333	0.24996	19.20000	0.25298	7.62667	0.15944	1042	9.8	3.3	08
25100	18.79402	0.24988	19.04319	0.25153	18.60133	0.24859	18.85714	0.25030	7.56478	0.15853	1042	9.8	3.291	05
25401	18.33887	0.24683	18.90365	0.25060	18.26910	0.24636	18.77409	0.24974	7.46844	0.15752	1042	9.8	3.31	05
25702	19.17608	0.25240	19.73422	0.25605	19.14618	0.25221	19.12957	0.25210	8.08306	0.16387	1042	9.8	3.31	08
26003	18.63787	0.24884	19.31229	0.25330	19.00664	0.25129	19.14618	0.25221	7.76412	0.16061	1042	9.7	3.31	08
26304	18.71096	0.24932	19.03654	0.25148	18.59468	0.24855	18.85714	0.25030	7.73090	0.16026	1042	9.7	3.291	07
26605	18.89369	0.25054	19.04319	0.25153	18.71761	0.24937	18.79070	0.24986	7.53821	0.15825	1042	9.7	3.31	08
26905	18.74000	0.24993	19.03667	0.25190	18.48000	0.24819	18.51667	0.24844	7.69000	0.16010	1042	9.7	3.31	08
27206	18.87375	0.25041	19.40532	0.25391	18.67110	0.24906	18.92027	0.25072	7.92027	0.16221	1042	9.7	3.31	09
27507	19.26578	0.25299	19.22591	0.25273	18.77409	0.24974	19.01993	0.25137	7.81728	0.16116	1042	9.7	3.31	08
27808	18.60133	0.24859	19.05648	0.25162	18.40532	0.24728	18.68439	0.24915	7.44850	0.15731	1042	9.7	3.31	09
28109	18.82724	0.25010	19.50498	0.25456	18.66777	0.24904	18.96346	0.25100	7.71096	0.16006	1042	9.6	3.3	08
28410	18.68106	0.24913	19.00332	0.25126	18.20266	0.24591	18.22591	0.24607	7.40864	0.15689	1042	9.6	3.296	09
28711	19.10631	0.25194	19.36877	0.25367	19.00664	0.25129	19.03987	0.25151	7.86711	0.16167	1042	9.7	3.31	08
29011	19.13333	0.25254	19.23333	0.25320	18.64000	0.24927	19.05333	0.25201	7.61333	0.15930	1042	9.7	3.31	06
29312	19.18605	0.25247	19.75083	0.25616	19.09635	0.25188	19.13289	0.25212	8.05980	0.16364	1042	9.7	3.31	06
29613	18.53156	0.24813	19.14950	0.25223	18.53156	0.24813	19.14950	0.25223	7.66445	0.15957	1043	9.6	3.305	06
29914	18.87375	0.25041	19.34884	0.25354	18.45847	0.24764	19.40532	0.25391	7.87043	0.16170	1043	9.5	3.31	05
30215	18.78405	0.24981	19.29900	0.25321	18.60797	0.24864	18.87708	0.25043	7.86711	0.16167	1042	9.6	3.31	07
30516	18.72757	0.24944	19.25581	0.25293	18.87708	0.25043	19.09967	0.25190	7.79734	0.16095	1043	9.7	3.31	04
30817	19.07973	0.25177	19.43522	0.25410	18.84053	0.25019	18.97674	0.25109	7.72757	0.16023	1043	9.6	3.31	08
31117	18.79000	0.25027	19.33667	0.25388	18.68667	0.24958	18.51000	0.24839	7.73333	0.16055	1043	9.6	3.31	06
31418	18.34219	0.24686	19.29236	0.25317	18.81063	0.24999	19.02326	0.25140	7.52824	0.15815	1043	9.5	3.305	07
31719	18.53156	0.24813	19.28571	0.25312	18.45515	0.24761	18.58140	0.24846	7.63787	0.15930	1043	9.6	3.296	09
32020	19.06977	0.25170	19.32558	0.25339	18.97342	0.25107	18.98007	0.25111	7.78738	0.16085	1043	9.5	3.296	06
32321	18.90365	0.25060	19.56478	0.25495	18.92359	0.25074	19.20266	0.25258	7.85050	0.16150	1043	9.5	3.31	09
32622	18.84385	0.25021	19.34219	0.25350	18.43522	0.24748	18.84053	0.25019	7.75748	0.16054	1043	9.5	3.305	09
32923	18.80399	0.24994	19.15947	0.25229	18.43189	0.24746	18.85714	0.25030	7.62791	0.15919	1043	9.6	3.305	08
33223	18.83000	0.25053	19.19667	0.25296	18.84667	0.25064	18.93333	0.25122	7.65000	0.15969	1043	9.5	3.3	08
33524	18.72757	0.24944	19.74419	0.25612	18.62791	0.24877	18.84053	0.25019	7.82392	0.16122	1043	9.5	3.31	08
33825	18.50166	0.24793	19.02990	0.25144	18.43189	0.24746	19.00997	0.25131	7.71761	0.16012	1043	9.5	3.315	09
34126	19.06645	0.25168	18.92691	0.25076	18.48505	0.24781	18.71096	0.24932	7.53821	0.15825	1043	9.5	3.305	07
34427	18.63123	0.24879	19.09635	0.25188	18.18937	0.24582	18.94020	0.25085	7.71096	0.16006	1043	9.7	3.296	08
34728	18.95681	0.25096	19.30565	0.25326	18.93023	0.25078	19.10963	0.25197	7.86379	0.16163	1043	9.5	3.31	09
