###Seconds (since Midnight UTC) 	 Chan 0 rate 	 Error in Chan0 	 Chan 1 rate 	 Error in Chan1 	 Chan 2 rate 	 Error in Chan2 	 Chan 3 rate 	 Error in Chan3 	 Trigger rate	Error in Triggers 	 Raw BA output 	 Temp (DegC) 	 Bus Voltage 	 #GPS satellites in view 
45852	18.82724	0.25010	19.43189	0.25408	18.63123	0.24879	18.29236	0.24652	7.69435	0.15988	1053	15.7	3.31	06
46153	19.04983	0.25157	19.53488	0.25475	18.76080	0.24966	18.63455	0.24881	7.63455	0.15926	1053	15.5	3.3	06
46454	18.81395	0.25001	19.79070	0.25642	18.59801	0.24857	18.40199	0.24726	7.56478	0.15853	1053	15.5	3.31	08
46755	19.27575	0.25306	19.90698	0.25717	18.24585	0.24621	18.30565	0.24661	7.61130	0.15902	1053	15.5	3.31	06
47055	18.90667	0.25104	19.31667	0.25375	18.78333	0.25022	18.35333	0.24734	7.36667	0.15670	1053	16.3	3.305	06
47356	18.88704	0.25049	19.64784	0.25549	18.92027	0.25072	18.65116	0.24893	7.53488	0.15822	1053	16.1	3.3	08
47657	19.15947	0.25229	19.06312	0.25166	18.51827	0.24804	18.35216	0.24692	7.60797	0.15898	1053	15.7	3.31	08
47958	18.63123	0.24879	19.30897	0.25328	18.46844	0.24770	18.37874	0.24710	7.35880	0.15636	1053	15.5	3.31	07
48259	18.49502	0.24788	19.65449	0.25553	18.34884	0.24690	18.23920	0.24616	7.48505	0.15769	1053	15.2	3.296	09
48560	18.67442	0.24908	19.70432	0.25586	18.32890	0.24677	18.40864	0.24730	7.43522	0.15717	1053	15.4	3.31	07
48861	19.07309	0.25173	19.69103	0.25577	18.53821	0.24817	18.55814	0.24830	7.57475	0.15864	1052	15.3	3.305	05
49161	18.83000	0.25053	19.22000	0.25311	18.17000	0.24610	18.00000	0.24495	7.15000	0.15438	1052	15.1	3.31	06
49462	19.00332	0.25126	19.93023	0.25732	18.52824	0.24810	18.28239	0.24645	7.61462	0.15905	1053	15.5	3.31	06
49763	18.83721	0.25016	19.47176	0.25434	18.38870	0.24717	18.27907	0.24643	7.41528	0.15696	1053	15.3	3.31	04
50064	18.81063	0.24999	19.40199	0.25389	18.38206	0.24712	18.28571	0.24647	7.63455	0.15926	1053	15.3	3.305	06
50365	19.07309	0.25173	19.80399	0.25650	18.60797	0.24864	18.82392	0.25008	7.50831	0.15794	1053	15.8	3.3	07
50666	18.66445	0.24901	19.27575	0.25306	18.44850	0.24757	18.20266	0.24591	7.56811	0.15857	1053	16	3.31	06
50967	18.88040	0.25045	19.68439	0.25573	18.66445	0.24901	18.44186	0.24753	7.50831	0.15794	1053	16.1	3.31	07
51267	18.46333	0.24808	19.61667	0.25571	18.63333	0.24922	18.02667	0.24513	7.31667	0.15617	1053	16.2	3.3	08
51568	18.36213	0.24699	19.14950	0.25223	18.08970	0.24515	17.88040	0.24373	7.33555	0.15611	1053	16.7	3.31	08
51869	18.85382	0.25027	20.24585	0.25935	18.76080	0.24966	18.18937	0.24582	7.65449	0.15947	1053	16.8	3.31	07
52170	19.01329	0.25133	19.84053	0.25674	18.50498	0.24795	17.99668	0.24452	7.55150	0.15839	1053	16.7	3.31	08
52471	18.41196	0.24732	19.67110	0.25564	18.49834	0.24790	18.55482	0.24828	7.45183	0.15734	1053	16.6	3.31	10
52772	18.43522	0.24748	19.06312	0.25166	18.02658	0.24472	18.00997	0.24461	7.30897	0.15583	1053	16.3	3.315	10
53073	19.00000	0.25124	19.93688	0.25736	18.72757	0.24944	18.71761	0.24937	7.71096	0.16006	1053	16.4	3.31	09
53373	18.62000	0.24913	19.08333	0.25221	18.16333	0.24606	17.94667	0.24459	7.48333	0.15794	1053	16.6	3.31	10
53674	19.01993	0.25137	19.63787	0.25543	18.58804	0.24850	18.69435	0.24921	7.71096	0.16006	1053	16.6	3.31	09
53975	18.68771	0.24917	18.98339	0.25113	18.24917	0.24623	18.23588	0.24614	7.39535	0.15675	1053	17	3.31	08
54276	18.75415	0.24961	19.53821	0.25478	18.15947	0.24562	17.87043	0.24366	7.45847	0.15741	1053	17.3	3.31	08
54577	18.93023	0.25078	19.35880	0.25360	18.52159	0.24806	18.33555	0.24681	7.35216	0.15629	1053	16.9	3.315	07
54878	18.95017	0.25091	19.68771	0.25575	18.90698	0.25063	18.28239	0.24645	7.59136	0.15881	1053	16.9	3.305	07
55179	19.00664	0.25129	19.80731	0.25652	18.49502	0.24788	18.19269	0.24585	7.55814	0.15846	1053	17.2	3.31	06
55479	19.17333	0.25281	20.19333	0.25944	19.07333	0.25215	18.36667	0.24743	7.63667	0.15955	1053	17.4	3.31	06
55780	19.32226	0.25336	19.71096	0.25590	18.77409	0.24974	18.25249	0.24625	7.73090	0.16026	1053	17.4	3.31	06
56081	18.96678	0.25102	19.27243	0.25304	18.51495	0.24802	18.16611	0.24567	7.58472	0.15874	1053	17.2	3.31	05
56382	18.69435	0.24921	19.37874	0.25373	18.45515	0.24761	18.39203	0.24719	7.42525	0.15706	1053	17.1	3.31	05
56683	18.54485	0.24822	19.19269	0.25251	18.19269	0.24585	17.98339	0.24443	7.33555	0.15611	1053	17.3	3.31	04
56984	18.77076	0.24972	19.33887	0.25347	18.46844	0.24770	18.34551	0.24688	7.42525	0.15706	1053	17.3	3.31	06
57285	19.16279	0.25232	19.56478	0.25495	18.48505	0.24781	17.90698	0.24391	7.55814	0.15846	1053	17.3	3.31	05
57585	19.03000	0.25186	19.67333	0.25608	18.52333	0.24848	18.12333	0.24579	7.67000	0.15990	1053	17.2	3.31	04
57886	19.27243	0.25304	19.71761	0.25594	18.50831	0.24797	18.00997	0.24461	7.76080	0.16057	1053	17.1	3.31	06
58187	18.68771	0.24917	19.63123	0.25538	18.49834	0.24790	17.73754	0.24275	7.41528	0.15696	1052	17.1	3.31	06
58488	19.13621	0.25214	19.86711	0.25691	19.08306	0.25179	18.35880	0.24697	7.79070	0.16088	1053	16.8	3.305	07
58789	19.17608	0.25240	19.67442	0.25566	18.61794	0.24870	18.10631	0.24526	7.62791	0.15919	1052	17	3.31	06
59090	18.61462	0.24868	19.23256	0.25278	18.14618	0.24553	17.84718	0.24350	7.11628	0.15376	1052	17.2	3.31	06
59391	19.04983	0.25157	19.67110	0.25564	18.28904	0.24650	18.27907	0.24643	7.44850	0.15731	1052	17.4	3.31	06
59691	19.05667	0.25204	19.53333	0.25517	18.56333	0.24875	18.31333	0.24707	7.43667	0.15744	1052	18	3.31	06
59992	19.42525	0.25404	20.05980	0.25815	18.68106	0.24913	18.34884	0.24690	7.75748	0.16054	1052	17.8	3.31	08
60293	18.69103	0.24919	19.00332	0.25126	18.34219	0.24686	18.07973	0.24508	7.56811	0.15857	1052	17.6	3.31	07
60594	19.09635	0.25188	19.54153	0.25480	18.64120	0.24886	18.27575	0.24641	7.62458	0.15916	1052	17.3	3.31	05
60895	18.85050	0.25025	19.51495	0.25462	18.20598	0.24594	17.92691	0.24404	7.39535	0.15675	1052	17.1	3.31	08
61196	19.40532	0.25391	19.52159	0.25467	18.90698	0.25063	18.42857	0.24744	7.71761	0.16012	1051	17.2	3.315	07
61497	18.74086	0.24952	19.32226	0.25336	18.14618	0.24553	18.30565	0.24661	7.57807	0.15867	1052	17.3	3.31	06
61797	18.97667	0.25151	19.72667	0.25643	18.25333	0.24667	18.21667	0.24642	7.48333	0.15794	1052	17	3.31	05
62098	18.92691	0.25076	19.75415	0.25618	18.58472	0.24848	18.12957	0.24542	7.64452	0.15936	1052	17.1	3.305	06
62399	19.21595	0.25267	19.49502	0.25449	18.95017	0.25091	18.46844	0.24770	7.91030	0.16211	1052	17.2	3.315	06
62700	18.68106	0.24913	19.34551	0.25352	18.21262	0.24598	17.80066	0.24318	7.32558	0.15600	1052	17	3.31	07
63001	19.26578	0.25299	19.51827	0.25465	18.47841	0.24777	17.99003	0.24447	7.39203	0.15671	1052	17.1	3.31	07
63302	18.99336	0.25120	19.24917	0.25288	18.36213	0.24699	18.46844	0.24770	7.48837	0.15773	1051	17.2	3.31	07
63603	19.21927	0.25269	19.53156	0.25473	18.85050	0.25025	18.38206	0.24712	7.68439	0.15978	1051	17.1	3.31	05
63903	19.15333	0.25267	19.43000	0.25449	18.42667	0.24784	18.44333	0.24795	7.56000	0.15875	1051	17.1	3.291	07
64204	18.95017	0.25091	19.27575	0.25306	18.16944	0.24569	17.70764	0.24255	7.35216	0.15629	1051	17.2	3.315	07
64505	18.87375	0.25041	19.40199	0.25389	18.35548	0.24694	18.07641	0.24506	7.41860	0.15699	1051	17.2	3.31	06
64806	18.83056	0.25012	19.00997	0.25131	18.79402	0.24988	18.03322	0.24477	7.51163	0.15797	1051	17.1	3.315	04
