###Seconds (since Midnight UTC) 	 Chan 0 rate 	 Error in Chan0 	 Chan 1 rate 	 Error in Chan1 	 Chan 2 rate 	 Error in Chan2 	 Chan 3 rate 	 Error in Chan3 	 Trigger rate	Error in Triggers 	 Raw BA output 	 Temp (DegC) 	 Bus Voltage 	 #GPS satellites in view 
314	19.62458	0.25534	19.66777	0.25562	19.37874	0.25373	18.93355	0.25080	7.86047	0.16160	1023	13.4	3.31	07
615	19.10963	0.25197	19.64452	0.25547	18.87708	0.25043	18.75083	0.24959	7.87375	0.16174	1023	13.4	3.3	07
916	19.68771	0.25575	19.75083	0.25616	19.40199	0.25389	19.35548	0.25358	8.00664	0.16310	1023	13.4	3.31	05
1217	19.83721	0.25672	20.30897	0.25975	19.49169	0.25447	19.71096	0.25590	8.25581	0.16561	1023	13.4	3.31	03
1518	19.56146	0.25493	19.69767	0.25581	19.11628	0.25201	19.07641	0.25175	7.96678	0.16269	1023	13.4	3.305	07
1819	19.75083	0.25616	20.09967	0.25841	19.11960	0.25203	19.17940	0.25243	7.90033	0.16201	1024	13.4	3.3	06
2119	19.59000	0.25554	20.46000	0.26115	19.40333	0.25432	19.42333	0.25445	8.05333	0.16384	1024	13.6	3.31	07
2420	19.68439	0.25573	20.10299	0.25843	18.88704	0.25049	19.10963	0.25197	7.95681	0.16259	1024	13.3	3.31	07
2721	19.55150	0.25486	19.67774	0.25568	19.08638	0.25181	19.01661	0.25135	7.87708	0.16177	1024	13.3	3.296	04
3022	19.20266	0.25258	19.41860	0.25400	19.00997	0.25131	19.06977	0.25170	7.82392	0.16122	1024	13.3	3.31	07
3323	19.00332	0.25126	19.84718	0.25678	18.57143	0.24839	18.88372	0.25047	7.72757	0.16023	1024	13.3	3.305	06
3624	19.70764	0.25588	20.17608	0.25890	19.57475	0.25501	19.70432	0.25586	8.30233	0.16608	1024	13.3	3.31	09
3925	19.17940	0.25243	19.65449	0.25553	18.86379	0.25034	18.65116	0.24893	7.75415	0.16050	1024	13.2	3.31	07
4225	19.45000	0.25462	19.94333	0.25783	19.23333	0.25320	19.17333	0.25281	8.09667	0.16428	1024	13.3	3.31	08
4526	19.34551	0.25352	19.43522	0.25410	18.99668	0.25122	18.98671	0.25115	7.96678	0.16269	1024	13.3	3.305	06
4827	19.07309	0.25173	19.57807	0.25504	19.31229	0.25330	18.80731	0.24997	7.79734	0.16095	1024	13.3	3.3	06
5128	19.21262	0.25264	19.61794	0.25530	19.02326	0.25140	18.94020	0.25085	7.73422	0.16030	1025	13.3	3.31	06
5429	19.35880	0.25360	19.85050	0.25680	18.82060	0.25005	18.71096	0.24932	7.89369	0.16194	1025	13.3	3.31	06
5730	19.16611	0.25234	19.83721	0.25672	19.02658	0.25142	19.35216	0.25356	7.84718	0.16146	1025	13.4	3.3	07
6031	19.54153	0.25480	19.75748	0.25620	18.85050	0.25025	18.96346	0.25100	7.89369	0.16194	1025	13.3	3.31	07
6331	19.32667	0.25382	19.51333	0.25504	18.72667	0.24984	19.02333	0.25182	8.00000	0.16330	1025	13.4	3.31	06
6632	19.88704	0.25704	20.29236	0.25965	19.43522	0.25410	19.24917	0.25288	8.08970	0.16394	1025	13.3	3.31	08
6933	19.46844	0.25432	19.44518	0.25417	19.31894	0.25334	19.01329	0.25133	8.01329	0.16316	1025	13.2	3.31	08
7234	19.51827	0.25465	19.63787	0.25543	18.88040	0.25045	19.01329	0.25133	7.75083	0.16047	1026	13.2	3.315	08
7535	19.20266	0.25258	19.80399	0.25650	19.28904	0.25315	18.87375	0.25041	7.93023	0.16232	1026	13.1	3.31	07
7836	19.31561	0.25332	19.60465	0.25521	19.51495	0.25462	19.12292	0.25205	7.95681	0.16259	1025	13.2	3.31	07
