###Seconds (since Midnight UTC) 	 Chan 0 rate 	 Error in Chan0 	 Chan 1 rate 	 Error in Chan1 	 Chan 2 rate 	 Error in Chan2 	 Chan 3 rate 	 Error in Chan3 	 Trigger rate	Error in Triggers 	 Raw BA output 	 Temp (DegC) 	 Bus Voltage 	 #GPS satellites in view 
422	19.08306	0.25179	19.78738	0.25640	18.87708	0.25043	18.59801	0.24857	7.63787	0.15930	1052	13.4	3.305	03
723	19.13621	0.25214	19.92027	0.25726	18.58804	0.24850	18.60797	0.24864	7.65116	0.15943	1052	13.3	3.31	07
1023	18.82667	0.25051	19.77000	0.25671	19.03000	0.25186	18.54333	0.24862	7.60667	0.15923	1052	13.3	3.305	07
1324	19.51827	0.25465	20.01329	0.25786	18.87043	0.25038	18.70100	0.24926	7.60133	0.15891	1052	13.2	3.31	04
1625	18.82060	0.25005	20.03654	0.25800	18.63123	0.24879	18.28904	0.24650	7.65116	0.15943	1052	13.3	3.31	07
1926	19.36877	0.25367	19.56146	0.25493	18.90698	0.25063	18.77741	0.24977	7.89037	0.16191	1052	13.2	3.31	09
2227	19.47176	0.25434	19.75415	0.25618	19.03987	0.25151	18.49502	0.24788	7.51163	0.15797	1052	13.2	3.305	05
2528	19.07309	0.25173	19.35216	0.25356	18.34219	0.24686	18.63787	0.24884	7.57143	0.15860	1052	13.1	3.31	07
2829	18.77076	0.24972	19.34884	0.25354	18.51163	0.24799	18.37874	0.24710	7.39867	0.15678	1052	13.1	3.305	06
3129	18.96000	0.25140	19.25000	0.25331	18.69667	0.24964	18.62333	0.24915	7.47667	0.15787	1052	13.1	3.291	08
3430	18.99668	0.25122	20.01661	0.25788	18.80066	0.24992	18.25581	0.24627	7.45515	0.15738	1052	13.3	3.31	06
3731	19.23256	0.25278	19.84053	0.25674	18.71761	0.24937	18.60133	0.24859	7.59136	0.15881	1052	13.1	3.315	06
4032	18.96013	0.25098	19.85714	0.25685	19.20930	0.25262	18.42857	0.24744	7.44850	0.15731	1052	13.1	3.31	07
4333	18.50166	0.24793	19.15947	0.25229	18.19601	0.24587	17.66445	0.24225	7.20930	0.15476	1052	13	3.31	06
4634	19.19601	0.25254	19.70100	0.25584	18.91694	0.25069	18.44186	0.24753	7.61794	0.15909	1052	13	3.31	06
4935	18.69435	0.24921	19.26246	0.25297	18.68771	0.24917	18.31561	0.24668	7.36545	0.15643	1052	12.9	3.31	05
5235	18.90667	0.25104	19.51667	0.25506	18.64667	0.24931	18.74000	0.24993	7.44333	0.15752	1052	12.9	3.31	07
5536	19.01661	0.25135	19.60133	0.25519	18.47508	0.24775	18.30565	0.24661	7.48505	0.15769	1052	13	3.31	07
5837	19.01661	0.25135	19.63787	0.25543	19.18272	0.25245	18.56811	0.24837	7.65449	0.15947	1052	12.9	3.31	06
6138	18.49834	0.24790	19.28904	0.25315	18.27575	0.24641	18.02658	0.24472	7.21262	0.15480	1052	12.9	3.31	06
6439	19.05648	0.25162	19.80731	0.25652	18.91362	0.25067	18.54153	0.24819	7.51495	0.15801	1052	13	3.31	07
6740	19.00997	0.25131	19.25581	0.25293	18.49169	0.24786	18.15282	0.24558	7.41860	0.15699	1052	12.9	3.31	07
7041	19.38206	0.25376	19.51163	0.25460	19.07641	0.25175	18.61794	0.24870	7.70432	0.15999	1052	12.8	3.315	08
7341	18.87333	0.25082	19.64667	0.25591	18.75333	0.25002	18.11000	0.24570	7.38000	0.15684	1052	12.8	3.3	07
7642	19.34551	0.25352	19.49502	0.25449	18.42525	0.24741	18.34551	0.24688	7.60465	0.15895	1052	12.8	3.31	08
7943	19.22591	0.25273	19.79070	0.25642	18.90033	0.25058	18.71761	0.24937	7.67774	0.15971	1052	12.9	3.31	07
8244	18.85050	0.25025	19.47176	0.25434	18.80731	0.24997	18.43189	0.24746	7.49169	0.15776	1052	12.8	3.3	07
8545	18.99003	0.25118	19.99003	0.25771	18.59801	0.24857	18.27575	0.24641	7.59468	0.15884	1052	12.9	3.31	07
8846	19.67774	0.25568	20.36213	0.26009	19.36213	0.25363	18.99003	0.25118	7.99336	0.16296	1052	12.8	3.31	07
9147	19.21262	0.25264	19.80731	0.25652	18.99336	0.25120	18.30897	0.24663	7.66777	0.15961	1052	12.8	3.315	07
9447	18.89333	0.25095	20.11000	0.25891	19.07333	0.25215	18.77000	0.25013	7.56000	0.15875	1052	12.7	3.305	08
9748	18.69767	0.24924	19.92027	0.25726	19.13289	0.25212	18.50166	0.24793	7.60133	0.15891	1052	12.7	3.31	07
10049	19.29900	0.25321	19.41196	0.25395	18.47176	0.24773	18.10299	0.24524	7.38206	0.15660	1052	12.8	3.31	05
10350	19.04319	0.25153	19.72093	0.25596	18.57143	0.24839	18.32226	0.24672	7.57807	0.15867	1052	12.7	3.31	05
10651	19.01329	0.25133	19.49502	0.25449	18.44518	0.24755	18.73422	0.24948	7.39203	0.15671	1052	12.7	3.31	07
10952	18.99336	0.25120	19.32890	0.25341	18.30565	0.24661	18.56146	0.24833	7.54153	0.15829	1052	12.7	3.31	08
