###Seconds (since Midnight UTC) 	 Chan 0 rate 	 Error in Chan0 	 Chan 1 rate 	 Error in Chan1 	 Chan 2 rate 	 Error in Chan2 	 Chan 3 rate 	 Error in Chan3 	 Trigger rate	Error in Triggers 	 Raw BA output 	 Temp (DegC) 	 Bus Voltage 	 #GPS satellites in view 
369	19.14286	0.25219	19.27907	0.25308	18.59468	0.24855	18.47508	0.24775	7.45515	0.15738	1050	14.9	3.31	04
669	19.22667	0.25316	19.94667	0.25785	18.51667	0.24844	18.37000	0.24745	7.57000	0.15885	1051	14.8	3.3	05
970	19.22591	0.25273	19.42193	0.25402	18.74086	0.24952	18.35880	0.24697	7.66777	0.15961	1051	14.8	3.31	06
1271	19.25581	0.25293	19.67774	0.25568	18.57143	0.24839	18.41196	0.24732	7.55814	0.15846	1051	14.8	3.31	06
1572	19.34551	0.25352	19.83721	0.25672	18.65781	0.24897	18.39535	0.24721	7.60465	0.15895	1051	14.8	3.305	07
1873	19.22924	0.25275	19.39203	0.25382	18.65449	0.24895	18.38538	0.24715	7.68106	0.15975	1051	14.8	3.3	06
2174	19.32226	0.25336	19.71429	0.25592	18.44518	0.24755	18.10631	0.24526	7.59136	0.15881	1051	14.7	3.31	07
2475	18.92691	0.25076	19.12957	0.25210	18.15282	0.24558	18.01329	0.24463	7.39535	0.15675	1051	14.6	3.31	07
2775	19.23667	0.25322	19.39333	0.25425	18.48667	0.24824	18.19333	0.24626	7.48333	0.15794	1051	14.7	3.296	06
3076	18.88372	0.25047	18.82392	0.25008	18.32226	0.24672	18.18937	0.24582	7.55482	0.15843	1051	14.6	3.31	05
3377	18.05980	0.24495	18.41196	0.24732	17.74086	0.24278	17.69435	0.24246	7.01329	0.15264	1051	14.6	3.305	06
3678	18.20266	0.24591	18.89037	0.25052	18.31561	0.24668	18.11296	0.24531	7.23256	0.15501	1051	14.6	3.31	07
3979	18.40199	0.24726	18.52824	0.24810	17.92027	0.24400	17.83721	0.24343	7.20266	0.15469	1051	14.6	3.31	07
4280	18.18605	0.24580	18.41860	0.24737	17.96678	0.24432	17.91694	0.24398	7.40532	0.15685	1051	14.5	3.31	06
4580	18.38333	0.24754	18.87000	0.25080	18.30667	0.24703	18.29333	0.24694	7.68333	0.16003	1050	14.6	3.305	07
4881	18.34551	0.24688	18.93023	0.25078	18.66113	0.24899	18.31894	0.24670	7.50831	0.15794	1051	14.6	3.3	07
5182	18.59468	0.24855	19.10963	0.25197	18.56478	0.24835	18.26910	0.24636	7.70100	0.15995	1050	14.5	3.31	05
5483	18.32226	0.24672	18.76412	0.24968	18.10963	0.24529	17.97674	0.24438	7.38870	0.15668	1050	14.5	3.31	06
